TIME,FLIGHT,FROM,AIRLINE,AIRCRAFT,,STATUS
10:42 AM,DL1039,Minneapolis (MSP),Delta Air Lines,B739 (N804DN),,Landed 10:32 AM
10:46 AM,AA1046,Miami (MIA),American Airlines,A321 (N189UW),,Canceled
10:49 AM,DL456,Boston (BOS),Delta Air Lines,A21N (N541DE),,Landed 10:33 AM
10:49 AM,DL1394,West Palm Beach (PBI),Delta Air Lines,A321 (N302DN),,Landed 10:25 AM
10:49 AM,DL2777,Detroit (DTW),Delta Air Lines,A321 (N110DX),,Landed 10:36 AM
10:51 AM,DL5174,Louisville (SDF),Delta Connection,CRJ9 (N186GJ),,Landed 10:41 AM
10:52 AM,5Y8496,Chicago (ORD),Atlas Air,B744 (N408MC),,Landed 10:51 AM
10:53 AM,DL5517,Memphis (MEM),Delta Connection,CRJ7 (N690CA),,Landed 11:19 AM
10:55 AM,DL4089,Shreveport (SHV),Delta Connection,CRJ9 (N822SK),,Landed 10:35 AM
10:57 AM,UA221,New York (EWR),United Airlines,A319 (N855UA),,Landed 11:00 AM
10:58 AM,DL1214,Colorado Springs (COS),Delta Air Lines,B738 (N378DA),,Landed 10:37 AM
10:59 AM,DL455,Washington (DCA),Delta Air Lines,A320 (N362NW),,Landed 1:49 PM
10:59 AM,DL3036,Huntsville (HSV),Delta Air Lines,B712 (N980AT),,Landed 10:28 AM
11:00 AM,DL341,Denver (DEN),Delta Air Lines,A321 (N396DN),,Landed 10:44 AM
11:03 AM,DL2227,New York (JFK),Delta Air Lines,B752 (N550NW),,Landed 10:38 AM
11:03 AM,DL2328,Jacksonville (JAX),Delta Air Lines,B752 (N705TW),,Landed 10:43 AM
11:04 AM,DL3077,Asheville (AVL),Delta Air Lines,B712 (N933AT),,Landed 10:48 AM
11:04 AM,DL5143,Augusta (AGS),Delta Connection,CRJ9 (N913XJ),,Landed 10:31 AM
11:04 AM,DL1741,El Paso (ELP),Delta Air Lines,B739 (N930DZ),,Landed 10:51 AM
11:04 AM,DL1960,Charlotte (CLT),Delta Air Lines,B712 (N906AT),,Landed 10:45 AM
11:07 AM,DL2739,Greenville-Spartanburg (GSP),Delta Air Lines,B739 (N962DZ),,Landed 10:42 AM
11:10 AM,DL3110,Kansas City (MCI),Delta Air Lines,B739 (N944DZ),,Landed 10:57 AM
11:10 AM,WN1222,Baltimore (BWI),Southwest Airlines,B738 (N8517F),,Landed 11:16 AM
11:10 AM,DL9922,Dublin (DUB),Delta Air Lines,A333,,Canceled
11:12 AM,AA4389,Washington (DCA),American Eagle,E75S (N129HQ),,Landed 11:57 AM
11:13 AM,DL1763,San Juan (SJU),Delta Air Lines,B752 (N6716C),,Landed 10:53 AM
11:14 AM,DL2336,Columbia (CAE),Delta Air Lines,B712 (N946AT),,Landed 10:39 AM
11:17 AM,DL2899,Austin (AUS),Delta Air Lines,A321 (N340DN),,Landed 11:15 AM
11:22 AM,DL5236,Tallahassee (TLH),Delta Connection,CRJ9 (N924XJ),,Landed 11:07 AM
11:25 AM,DL1925,Raleigh-Durham (RDU),Delta Air Lines,B739 (N816DN),,Landed 11:28 AM
11:25 AM,WN1598,Chicago (MDW),Southwest Airlines,B38M (N8934Q),,Landed 11:15 AM
11:26 AM,DL2605,Tampa (TPA),Delta Air Lines,B752 (N543US),,Landed 11:21 AM
11:26 AM,DL3051,Destin Fort Walton Beach (VPS),Delta Air Lines,B712 (N989AT),,Landed 11:09 AM
11:28 AM,DL992,New York (LGA),Delta Air Lines,A321 (N389DN),,Landed 10:54 AM
11:29 AM,DL2793,Gainesville (GNV),Delta Air Lines,B712 (N979AT),,Landed 10:55 AM
11:29 AM,DL3128,New Orleans (MSY),Delta Air Lines,B739 (N893DN),,Landed 11:30 AM
11:30 AM,DL2204,Orlando (MCO),Delta Air Lines,B752 (N554NW),,Landed 11:12 AM
11:30 AM,DL5553,Minneapolis (MSP),Delta Connection,CRJ9 (N136EV),,Landed 11:12 AM
11:31 AM,DL998,San Antonio (SAT),Delta Air Lines,A320 (N351NW),,Landed 11:14 AM
11:31 AM,DL3048,Panama City (ECP),Delta Air Lines,B712 (N998AT),,Landed 10:58 AM
11:31 AM,DL3100,Birmingham (BHM),Delta Air Lines,B739 (N955DZ),,Landed 11:25 AM
11:31 AM,DL3174,Cincinnati (CVG),Delta Air Lines,B738 (N384DA),,Landed 11:18 AM
11:33 AM,B61097,Boston (BOS),JetBlue,A320 (N618JB),,Landed 11:24 AM
11:33 AM,DL5304,Montgomery (MGM),Delta Connection,CRJ7 (N354CA),,Landed 12:23 PM
11:34 AM,DL3103,Pensacola (PNS),Delta Air Lines,B739 (N919DU),,Landed 11:06 AM
11:35 AM,DL3125,Indianapolis (IND),Delta Air Lines,B739 (N824DN),,Landed 11:26 AM
11:35 AM,DL5462,Mobile (MOB),Delta Connection,CRJ7 (N371CA),,Landed 11:27 AM
11:35 AM,DL5496,Blountville (TRI),Delta Connection,CRJ9 (N907XJ),,Landed 11:13 AM
11:35 AM,CI5254,Anchorage (ANC),China Airlines,74Y,,Diverted to DFW
11:35 AM,5Y8497,Chicago (ORD),Atlas Air,B744 (N408MC),,Unknown
11:37 AM,DL1462,Richmond (RIC),Delta Air Lines,B752 (N696DL),,Landed 11:20 AM
11:37 AM,F94772,Cincinnati (CVG),"Frontier (Ed, Edwin & Eddie the Penguins Livery)",A20N (N344FR),,Landed 11:22 AM
11:38 AM,DL2003,Lexington (LEX),Delta Air Lines,B712 (N935AT),,Landed 11:10 AM
11:38 AM,F91871,New York (JFK),Frontier (Joey the Opossum Livery),A20N (N351FR),,Landed 10:59 AM
11:40 AM,DL3213,Savannah (SAV),Delta Air Lines,B739 (N939DZ),,Landed 11:19 AM
11:41 AM,DL3069,Nashville (BNA),Delta Air Lines,B738 (N3749D),,Landed 11:32 AM
11:43 AM,DL1479,Columbus (CMH),Delta Air Lines,B739 (N953DZ),,Landed 11:23 AM
11:45 AM,DL609,Cancun (CUN),Delta Air Lines,B739 (N878DN),,Landed 11:10 AM
11:45 AM,DL1847,Greensboro (GSO),Delta Air Lines,B712 (N990AT),,Landed 11:14 AM
11:46 AM,AA1276,Dallas (DFW),American Airlines (Oneworld Livery),B738 (N919NN),,Landed 11:24 AM
11:46 AM,DL1380,Pittsburgh (PIT),Delta Air Lines,B739 (N897DN),,Landed 11:25 AM
11:47 AM,DL1052,Minneapolis (MSP),Delta Air Lines,A321 (N333DX),,Landed 11:33 AM
11:47 AM,DL1334,Fort Lauderdale (FLL),Delta Air Lines,B752 (N695DL),,Landed 11:23 AM
11:47 AM,DL3090,Jackson (JAN),Delta Air Lines,B712 (N954AT),,Landed 1:15 PM
11:49 AM,DL385,Boston (BOS),Delta Air Lines,A321 (N106DN),,Landed 11:35 AM
11:50 AM,DL2127,Chattanooga (CHA),Delta Air Lines,B712 (N986AT),,Landed 11:31 AM
11:53 AM,DL1266,West Palm Beach (PBI),Delta Air Lines,A321 (N336DX),,Landed 11:37 AM
11:55 AM,DL431,Denver (DEN),Delta Air Lines,A321 (N373DX),,Landed 11:55 AM
11:55 AM,DL2974,Washington (IAD),Delta Air Lines,BCS3 (N314DU),,Landed 12:16 PM
11:55 AM,DL3091,Charleston (CHS),Delta Air Lines,B739 (N963DZ),,Landed 11:46 AM
